id,number,street,city,state,postalCode,price
1,40,8th,Los Angeles,CA,90094,179014.3
2,8392,Loftsgordon,Boise,ID,83722,233245.49
3,95172,Northview,Dayton,OH,45440,222339.8
4,28,Forest Run,Atlanta,GA,31196,120408.46
5,69,Steensland,Boston,MA,02298,110257.6
6,85,Maple,Denver,CO,80249,389253.09
7,5336,Derek,Charleston,WV,25326,396817.88
8,5,Granby,Rochester,NY,14609,389523.51
9,891,Messerschmidt,Boulder,CO,80310,341740.6
10,82,Summit,Minneapolis,MN,55423,104874.92
11,29,Dixon,New York City,NY,10060,226320.1
12,996,Golf View,Milwaukee,WI,53234,68850.94
13,715,Sunbrook,Modesto,CA,95354,151603.89
14,76036,Nevada,Lincoln,NE,68583,414449.19
15,4820,Sugar,San Diego,CA,92145,107946.69
16,96998,Amoth,Savannah,GA,31405,358102.13
17,4,Westend,Portland,OR,97286,230883.4
18,96,Sundown,Washington,DC,20420,181047.27
19,5,Hauk,Los Angeles,CA,90020,170056.32
20,1,Golden Leaf,Lancaster,PA,17622,356324.66
21,1,Prairieview,Chicago,IL,60641,160953.53
22,9030,Lighthouse Bay,Lexington,KY,40505,306383.0
23,9749,Amoth,Albuquerque,NM,87105,484470.46
24,14,Declaration,Kansas City,MO,64193,332033.16
25,11,Hagan,Washington,DC,20205,188082.85
26,054,Mitchell,Mount Vernon,NY,10557,151229.09
27,58,Anniversary,Sacramento,CA,94291,168548.74
28,48,Magdeline,Chicago,IL,60691,65259.59
29,7323,2nd,Omaha,NE,68117,492958.0
30,68491,Manitowish,Boca Raton,FL,33499,175801.33
31,92,Clyde Gallagher,Augusta,GA,30905,123630.13
32,50950,Grover,Toledo,OH,43666,151643.36
33,65,Drewry,San Francisco,CA,94110,238730.12
34,357,Riverside,Tampa,FL,33605,489614.74
35,2,Utah,Charlotte,NC,28272,81967.37
36,62397,Judy,Trenton,NJ,08638,281460.0
37,04,Bobwhite,Philadelphia,PA,19115,303437.71
38,29,Meadow Ridge,Fort Worth,TX,76110,52444.79
39,87363,1st,Huntsville,AL,35895,284037.83
40,75,Summerview,Amarillo,TX,79118,55257.98
41,24616,Starling,Winston Salem,NC,27110,464139.99
42,8,Nobel,Sterling,VA,20167,332853.57
43,430,Morning,Norfolk,VA,23504,318041.01
44,49184,Bowman,Macon,GA,31205,208803.24
45,7,Goodland,Springfield,IL,62794,98317.41
46,0092,Autumn Leaf,Des Moines,IA,50347,331408.81
47,0,Chinook,Alexandria,VA,22313,431147.21
48,43170,Corben,Washington,DC,20238,326116.02
49,840,Cascade,Washington,DC,20016,105894.84
50,556,Sachs,Albuquerque,NM,87195,50398.25
51,941,Cody,Erie,PA,16505,405348.45
52,3,Corben,Santa Rosa,CA,95405,305482.36
53,0,Butterfield,Macon,GA,31210,275402.42
54,42590,Dawn,Glendale,CA,91210,174446.21
55,21,Crescent Oaks,Santa Monica,CA,90405,151858.95
56,102,Sommers,Corpus Christi,TX,78415,126909.0
57,517,Logan,Duluth,GA,30195,279349.79
58,712,Oneill,Lexington,KY,40581,374847.26
59,65,Bultman,Tacoma,WA,98481,475604.15
60,33619,Stephen,Gainesville,FL,32610,142579.14
61,41495,Loomis,Louisville,KY,40233,312639.09
62,4510,Becker,Fort Lauderdale,FL,33325,239128.76
63,184,Kennedy,Los Angeles,CA,90025,416110.01
64,501,Loftsgordon,Pueblo,CO,81005,159433.14
65,80,Sheridan,Memphis,TN,38150,380125.78
66,35,Eastwood,San Jose,CA,95173,312855.75
67,367,Ridgeview,Melbourne,FL,32941,176917.0
68,4,Longview,Lafayette,LA,70593,132993.43
69,97,Sullivan,Dallas,TX,75210,297163.9
70,888,Vahlen,New Orleans,LA,70187,450904.72
71,8315,Thompson,New Hyde Park,NY,11044,288770.92
72,32337,Annamark,Toledo,OH,43666,346240.95
73,7,Continental,Torrance,CA,90505,316779.03
74,94820,David,Dulles,VA,20189,302076.48
75,34,Commercial,Milwaukee,WI,53205,350094.86
76,499,Eagan,Springfield,IL,62718,149779.38
77,019,Twin Pines,Fort Wayne,IN,46825,270370.01
78,500,Ridge Oak,Washington,DC,20503,279543.64
79,8,Daystar,El Paso,TX,79911,467650.03
80,3960,Schurz,Fresno,CA,93704,117668.89
81,7659,Schurz,Phoenix,AZ,85020,148738.31
82,7359,Cascade,San Bernardino,CA,92410,307981.46
83,6430,Heffernan,Bronx,NY,10469,185660.35
84,52424,Clyde Gallagher,Atlanta,GA,30323,477338.25
85,7,Commercial,Washington,DC,20436,61288.1
86,56723,Barnett,Huntington,WV,25721,484099.23
87,8,Vahlen,Asheville,NC,28815,473479.83
88,28205,Novick,Buffalo,NY,14233,115274.66
